STOCK CODE;LISTING DATE;Month;BOOK BUILD DATE;S & P;kospi;NAME;MKT;MKT_Dummy;BOOK BUILD DATE;LOWER BAND;UPPER BAND; TOTAL SHARES ; MKT CAP (BN) ; IPO SHARES ; IPO SIZE (BN) ; IPO PRICE ;Discount on the Band Price; DAY 1 OPEN 
189690;02/11/15;2;01/26/15;2.02%;-0.16%;FORCS;KQ;0;01/26/15;7500;9100;6212799;57;1300000;12;9100;1600;15500
145210;03/19/15;3;03/03/15;2.66%;2.59%;SAEHWA IMC;KP;1;03/03/15;14500;16300;11335440;185;1310500;21;16300;1800;18100
138250;03/27/15;3;03/09/15;-2.23%;-1.22%;NS SHOPPING;KP;1;03/09/15;205000;235000;3369600;792;878181;206;235000;30000;211500
195990;04/13/15;4;03/26/15;-0.99%;2.42%;UGINT;KQ;0;03/26/15;12400;14000;10320800;155;2060000;31;15000;2600;29150
187420;05/29/15;5;05/13/15;-0.88%;-2.12%;GENOFOCUS;KQ;0;05/13/15;8000;9000;6754667;74;1200000;13;11000;3000;22000
87600;06/12/15;6;05/26/15;0.06%;-1.29%;PIXELPLUS;KQ;0;05/26/15;33000;37000;8266558;248;1000000;30;30000;-3000;27000
160980;06/17/15;6;05/28/15;0.76%;-0.72%;CYMECHS;KQ;0;05/28/15;14300;16300;5354863;87;1592100;26;16300;2000;15200
177350;06/19/15;6;06/03/15;0.76%;-0.72%;VESSEL;KQ;0;06/03/15;8000;9000;4632536;42;600000;5;9000;1000;13400
210980;06/23/15;6;06/04/15;-0.40%;1.86%;SK D&D;KP;1;06/04/15;20200;24300;9870000;257;2950000;77;26000;5800;52000
214310;06/25/15;6;06/09/15;-0.40%;1.86%;SEMICON LIGHT;KQ;0;06/09/15;11300;13700;5200000;59;1040558;12;11300;0;11500
166480;06/26/15;6;06/11/15;-0.40%;1.86%;CORESTEM;KQ;0;06/11/15;10800;13200;15729940;252;2500000;40;16000;5200;32000
160600;06/26/15;6;06/10/15;-0.40%;1.86%;SNTEK;KQ;0;06/10/15;5600;6300;6500000;42;1100000;7;6500;900;10000
214390;06/29/15;6;06/10/15;-1.18%;0.07%;KYONGBO PHARM;KP;1;06/10/15;13000;15000;32825860;492;9562750;143;15000;2000;30000
214180;06/30/15;6;06/17/15;-1.18%;0.07%;MINWISE;KQ;0;06/17/15;21000;24000;5689460;159;1411800;40;28000;7000;56000
94170;06/30/15;6;06/16/15;-1.18%;0.07%;DW ANATECH;KQ;0;06/16/15;10000;12000;6269366;63;500000;5;10000;0;12500
178780;06/30/15;6;06/15/15;-1.18%;0.07%;U-TECH;KQ;0;06/15/15;8000;9000;4915300;44;1010000;9;9000;1000;12550
85620;07/08/15;7;06/22/15;-0.01%;-3.07%;MIRAE ASSET LIFE;KP;1;06/22/15;8200;10000;173357013;1300;40000000;300;7500;-700;7400
214420;07/10/15;7;06/24/15;-0.01%;-3.07%;TONYMOLY;KP;1;06/24/15;26400;30200;11760000;376;2940000;94;32000;5600;64000
214320;07/17/15;7;07/01/15;2.41%;1.38%;INNOCEAN;KP;1;07/01/15;64000;71000;20000000;1360;3800000;258;68000;4000;66600
87010;07/22/15;7;07/06/15;-2.21%;-2.13%;PEPTRON;KQ;0;07/06/15;9000;12000;6475546;104;815122;13;16000;7000;32000
214450;07/24/15;7;07/08/15;-2.21%;-2.13%;PHARMA RESEARCH;KQ;0;07/08/15;40000;47000;9677217;532;2367000;130;55000;15000;110000
67730;07/29/15;7;07/13/15;1.16%;-0.25%;LOGISYS;KQ;0;07/13/15;2000;2500;9340922;23;3174050;8;2500;500;4180
214430;07/30/15;7;07/14/15;1.16%;-0.25%;I3SYSTEM;KQ;0;07/14/15;28500;31500;3317400;119;500000;18;36000;7500;63000
127710;07/31/15;7;07/15/15;1.16%;-0.25%;ASIA BUSINESS DAILY;KQ;0;07/15/15;3200;3600;25244000;91;8500000;31;3600;400;3240
94360;08/05/15;8;07/20/15;-1.25%;-1.85%;CHIPS&MEDIA;KQ;0;07/20/15;9300;10500;3397702;36;650000;7;10500;1200;13700
189980;08/07/15;8;07/22/15;-1.25%;-1.85%;HYUNGKUK F&B;KQ;0;07/22/15;14500;17500;7070250;141;1800000;36;20000;5500;40000
131760;08/14/15;8;07/28/15;0.67%;-1.03%;FINETEK;KQ;0;07/28/15;9000;10500;5847621;61;1065651;11;10500;1500;21000
95570;08/21/15;8;08/04/15;-5.77%;-4.29%;AJ NETWORKS;KP;1;08/04/15;30200;34300;9364459;321;2300000;79;34300;4100;30900
196700;08/24/15;8;08/05/15;0.91%;2.29%;WAPS;KQ;0;08/05/15;6500;7200;6734000;48;1600000;12;7200;700;11400
175140;09/23/15;9;09/09/15;-1.36%;-3.04%;INFOMARK;KQ;0;09/09/15;12000;14000;3503708;49;870000;12;14000;2000;25000
2690;09/24/15;9;09/10/15;-1.36%;-3.04%;DONG IL STEEL;KP;1;09/10/15;2700;3300;15000000;45;5000000;15;3000;300;3870
39570;09/24/15;9;09/08/15;-1.36%;-3.04%;I CONTROLS;KP;1;09/08/15;28000;32000;8230000;263;2612270;84;32000;4000;31650
217190;09/25/15;9;09/09/15;-1.36%;-3.04%;GENESEM;KQ;0;09/09/15;9000;10500;4384587;46;1300000;14;10500;1500;11000
219130;09/25/15;9;09/10/15;-1.36%;-3.04%;TIGER ELEC;KQ;0;09/10/15;6000;6900;6169290;37;1543000;9;6000;0;5720
79550;04/11/16;10;09/17/15;1.04%;1.44%;LIG NEX1;KP;1;09/17/15;66000;76000;22000000;1672;6900000;524;76000;10000;68400
214870;10/13/15;10;09/23/15;0.90%;0.55%;HDPRO;KQ;0;09/23/15;7800;8900;5986486;53;1516209;13;8900;1100;9580
92870;10/22/15;10;10/06/15;2.07%;0.82%;EXICON;KQ;0;10/06/15;13500;16500;8823500;88;2000000;20;10000;-3500;10400
182400;10/23/15;10;10/07/15;2.07%;0.82%;ATGEN;KQ;0;10/07/15;12500;14500;10072552;171;1007255;17;17000;4500;34000
115960;11/02/15;11;10/15/15;0.95%;0.34%;YONWOO;KQ;0;10/15/15;20300;25200;12398000;312;2405680;61;25200;4900;28150
192080;11/04/15;11;10/19/15;0.95%;0.34%;DOUBLEU GAMES;KQ;0;10/19/15;51000;61000;17089768;1111;4272450;278;65000;14000;65100
89590;11/06/15;11;10/21/15;0.95%;0.34%;JEJU AIR;KP;1;10/21/15;23000;28000;25906758;777;5500000;165;30000;7000;49500
214330;11/11/15;11;10/27/15;-3.63%;-3.01%;KUMHO HT;KP;1;10/27/15;12700;15700;9765000;98;4495950;45;10000;-2700;9500
56090;11/12/15;11;10/28/15;-3.63%;-3.01%;U&I;KQ;0;10/28/15;25000;30000;7543754;226;1500000;45;30000;5000;28650
190510;11/12/15;11;10/28/15;-3.63%;-3.01%;NAMUGA;KQ;0;10/28/15;32000;37000;3346202;124;878000;32;37000;5000;33400
185490;11/16/15;11;10/29/15;3.27%;0.86%;EYEGENE;KQ;0;10/29/15;12000;13500;10000000;135;1485257;20;13500;1500;12900
214370;11/17/15;11;10/27/15;3.27%;0.86%;CAREGEN;KQ;0;10/27/15;80000;90000;10710000;1178;1620000;178;110000;30000;101500
212560;11/18/15;11;11/02/15;3.27%;0.86%;NEOOTO;KQ;0;11/02/15;11400;12800;5250000;63;1549514;19;12000;600;11800
127160;11/19/15;11;11/05/15;3.27%;0.86%;MAGICMICRO;KQ;0;11/05/15;5200;6400;6222125;34;1600000;9;5500;300;5420
221980;11/19/15;11;11/04/15;3.27%;0.86%;KD CHEM;KQ;0;11/04/15;14700;17800;4034800;65;1160000;19;16000;1300;14850
180400;11/20/15;11;11/05/15;3.27%;0.86%;MG MED;KQ;0;11/05/15;33000;40000;2074820;83;350000;14;40000;7000;41000
197210;11/20/15;11;11/04/15;3.27%;0.86%;LEED;KQ;0;11/04/15;4500;5100;4597700;23;781580;4;5100;600;4590
221840;11/25/15;11;11/04/15;0.05%;1.74%;HIZEAERO;KQ;0;11/04/15;23000;26000;17468478;314;4375000;79;18000;-5000;16200
75580;11/30/15;11;11/12/15;0.08%;-2.78%;SEJIN HEAVY;KP;1;11/12/15;3500;3900;38832000;136;6741000;24;3500;0;3495
213090;12/01/15;12;11/12/15;0.08%;-2.78%;MIRAE TECHNOLOGY;KQ;0;11/12/15;14300;16100;5545000;89;1500000;24;16100;1800;14900
217820;12/07/15;12;11/16/15;-3.79%;-0.74%;NS;KQ;0;11/16/15;6300;7200;4900000;39;992985;8;8000;1700;12950
58110;12/14/15;12;11/30/15;-0.34%;1.10%;MEKICS;KQ;0;11/30/15;7500;9000;5361500;24;550000;2;4500;-3000;8000
122640;12/16/15;12;12/02/15;-0.34%;1.10%;YEST;KQ;0;12/02/15;14500;18500;4327321;63;1075000;16;14500;0;15500
222040;12/16/15;12;12/01/15;-0.34%;1.10%;NUTRIBIOTECH;KQ;0;12/01/15;21000;24000;10314000;217;2080000;44;21000;0;23000
225530;12/17/15;12;12/03/15;-0.34%;1.10%;BOKWANG INDUSTRY;KQ;0;12/03/15;6000;7000;11490000;46;3000000;12;4000;-2000;6110
140860;12/17/15;12;12/03/15;-0.34%;1.10%;PARK SYSTEMS;KQ;0;12/03/15;9000;11000;6431155;58;1000000;9;9000;0;11000
