4-Jan-15,-0.65%,0.51%
11-Jan-15,-1.24%,-1.56%
18-Jan-15,1.60%,3.34%
25-Jan-15,-2.77%,-0.18%
1-Feb-15,3.03%,0.11%
8-Feb-15,2.02%,-0.16%
15-Feb-15,0.63%,0.24%
22-Feb-15,-0.27%,0.44%
1-Mar-15,-1.58%,1.79%
8-Mar-15,-0.86%,-1.48%
15-Mar-15,2.66%,2.59%
22-Mar-15,-2.23%,-1.22%
29-Mar-15,0.29%,0.47%
5-Apr-15,1.70%,2.03%
12-Apr-15,-0.99%,2.42%
19-Apr-15,1.75%,1.03%
26-Apr-15,-0.44%,-1.71%
3-May-15,0.37%,-2.11%
10-May-15,0.31%,0.20%
17-May-15,0.16%,1.80%
24-May-15,-0.88%,-2.12%
31-May-15,-0.69%,-2.09%
7-Jun-15,0.06%,-1.29%
14-Jun-15,0.76%,-0.72%
21-Jun-15,-0.40%,1.86%
28-Jun-15,-1.18%,0.07%
5-Jul-15,-0.01%,-3.07%
12-Jul-15,2.41%,1.38%
19-Jul-15,-2.21%,-2.13%
26-Jul-15,1.16%,-0.25%
2-Aug-15,-1.25%,-1.85%
9-Aug-15,0.67%,-1.03%
16-Aug-15,-5.77%,-4.29%
23-Aug-15,0.91%,2.29%
30-Aug-15,-3.40%,-1.92%
6-Sep-15,2.07%,2.56%
13-Sep-15,-0.15%,3.16%
20-Sep-15,-1.36%,-3.04%
27-Sep-15,1.04%,1.44%
4-Oct-15,3.26%,3.74%
11-Oct-15,0.90%,0.55%
18-Oct-15,2.07%,0.82%
25-Oct-15,0.20%,0.00%
1-Nov-15,0.95%,0.34%
8-Nov-15,-3.63%,-3.01%
15-Nov-15,3.27%,0.86%
22-Nov-15,0.05%,1.74%
29-Nov-15,0.08%,-2.78%
6-Dec-15,-3.79%,-0.74%
13-Dec-15,-0.34%,1.10%
20-Dec-15,2.76%,0.96%
27-Dec-15,-0.83%,-2.02%
3-Jan-16,-5.96%,-2.79%
10-Jan-16,-2.17%,-2.10%
17-Jan-16,1.41%,0.00%
24-Jan-16,1.75%,1.45%
31-Jan-16,-3.10%,0.52%
7-Feb-16,-0.81%,-3.57%
14-Feb-16,2.84%,4.57%
21-Feb-16,1.58%,-0.02%
28-Feb-16,2.67%,1.92%
6-Mar-16,1.11%,0.93%
13-Mar-16,1.35%,1.10%
20-Mar-16,-0.67%,-0.34%
27-Mar-16,1.81%,-0.59%
3-Apr-16,-1.21%,-0.24%
10-Apr-16,1.62%,2.80%
17-Apr-16,0.52%,-0.08%
24-Apr-16,-1.26%,-1.26%
1-May-16,-0.40%,-0.77%
8-May-16,-0.51%,-1.11%
15-May-16,0.28%,-0.77%
22-May-16,2.28%,1.30%
29-May-16,0.00%,1.05%
5-Jun-16,-0.15%,1.87%
12-Jun-16,-1.19%,-2.94%
19-Jun-16,-1.63%,-1.00%
26-Jun-16,3.22%,3.06%
3-Jul-16,1.28%,-1.25%
10-Jul-16,1.49%,3.12%
17-Jul-16,0.61%,-0.39%
24-Jul-16,-0.07%,0.58%
31-Jul-16,0.43%,0.35%
7-Aug-16,0.05%,1.51%
14-Aug-16,-0.01%,0.98%
21-Aug-16,-0.68%,-0.95%
28-Aug-16,0.50%,0.11%
4-Sep-16,-2.39%,0.32%
11-Sep-16,0.53%,-2.15%
18-Sep-16,1.19%,2.62%
25-Sep-16,0.17%,-0.34%
2-Oct-16,-0.67%,1.00%
9-Oct-16,-0.96%,-1.91%
16-Oct-16,0.38%,0.85%
23-Oct-16,-0.69%,-0.28%
30-Oct-16,-1.94%,-1.54%
6-Nov-16,3.80%,-0.23%
13-Nov-16,0.81%,-0.71%
20-Nov-16,1.44%,0.82%
27-Nov-16,-0.97%,0.25%
4-Dec-16,3.08%,3.18%
11-Dec-16,-0.06%,0.63%
18-Dec-16,0.25%,-0.36%
25-Dec-16,-1.10%,-0.61%
1-Jan-17,1.70%,1.23%
8-Jan-17,-0.10%,1.79%
15-Jan-17,-0.15%,-0.52%
22-Jan-17,1.03%,1.49%
29-Jan-17,0.12%,-0.60%
5-Feb-17,0.81%,-0.07%
12-Feb-17,1.51%,0.07%
19-Feb-17,0.69%,0.57%
26-Feb-17,0.67%,-0.23%
5-Mar-17,-0.44%,0.93%
12-Mar-17,0.24%,3.51%
19-Mar-17,-1.44%,0.16%
26-Mar-17,0.80%,-0.59%
2-Apr-17,-0.30%,-0.58%
9-Apr-17,-1.13%,-0.61%
"Apr 16, 2017",0.85%,0.99%
