LISTING DATE;;;;;Index Date;Index Date + 7;;S & P;Kospi
2/11/2015;42,046;;;;01/04/15;42015;42008;-0.65%;0.51%
3/19/2015;42,082;;;;01/11/15;42022;42015;-1.24%;-1.56%
3/27/2015;42,090;;;;01/18/15;42029;42022;1.60%;3.34%
4/13/2015;42,107;;;;01/25/15;42036;42029;-2.77%;-0.18%
5/29/2015;42,153;;;;02/01/15;42043;42036;3.03%;0.11%
6/12/2015;42,167;;;;02/08/15;42050;42043;2.02%;-0.16%
6/17/2015;42,172;;;;02/15/15;42057;42050;0.63%;0.24%
6/19/2015;42,174;;;;02/22/15;42064;42057;-0.27%;0.44%
6/23/2015;42,178;;;;03/01/15;42071;42064;-1.58%;1.79%
6/25/2015;42,180;;;;03/08/15;42078;42071;-0.86%;-1.48%
6/26/2015;42,181;;;;03/15/15;42085;42078;2.66%;2.59%
6/26/2015;42,181;;;;03/22/15;42092;42085;-2.23%;-1.22%
6/29/2015;42,184;;;;03/29/15;42099;42092;0.29%;0.47%
6/30/2015;42,185;;;;04/05/15;42106;42099;1.70%;2.03%
6/30/2015;42,185;;;;04/12/15;42113;42106;-0.99%;2.42%
6/30/2015;42,185;;;;04/19/15;42120;42113;1.75%;1.03%
7/8/2015;42,193;;;;04/26/15;42127;42120;-0.44%;-1.71%
7/10/2015;42,195;;;;05/03/15;42134;42127;0.37%;-2.11%
7/17/2015;42,202;;;;05/10/15;42141;42134;0.31%;0.20%
7/22/2015;42,207;;;;05/17/15;42148;42141;0.16%;1.80%
7/24/2015;42,209;;;;05/24/15;42155;42148;-0.88%;-2.12%
7/29/2015;42,214;;;;05/31/15;42162;42155;-0.69%;-2.09%
7/30/2015;42,215;;;;06/07/15;42169;42162;0.06%;-1.29%
7/31/2015;42,216;;;;06/14/15;42176;42169;0.76%;-0.72%
8/5/2015;42,221;;;;06/21/15;42183;42176;-0.40%;1.86%
8/7/2015;42,223;;;;06/28/15;42190;42183;-1.18%;0.07%
8/14/2015;42,230;;;;07/05/15;42197;42190;-0.01%;-3.07%
8/21/2015;42,237;;;;07/12/15;42204;42197;2.41%;1.38%
